t A E T
6310.0 -5.0304043273737605e-05 0.00010778202230732326 2.447163530921266e-07
6320.0 -4.3509688322424726e-05 0.00011080748485231497 2.3519667909815186e-07
6330.0 -3.65436052406202e-05 0.00011339560013036692 2.247486494156301e-07
6340.0 -2.9433288509916194e-05 0.0001155361530560887 2.1341350169782735e-07
6350.0 -2.2206801886078572e-05 0.00011722069503191306 2.0123597942531138e-07
6360.0 -1.4892667633906133e-05 0.00011844257729583696 1.882641470062757e-07
6370.0 -7.519753954359713e-06 0.00011919697716210689 1.7454920955029007e-07
6380.0 -1.17161042533908e-07 0.00011948091705882421 1.6014529857240724e-07
6390.0 7.285893768738465e-06 0.00011929327627538286 1.451092701590216e-07
6400.0 1.4660191323877231e-05 0.00011863479539013631 1.295004743730562e-07
6410.0 2.1976625971406756e-05 0.00011750807334643201 1.1338051956653016e-07
6420.0 2.920632044308553e-05 0.00011591755719362221 9.681303646684637e-08
6430.0 3.632073982527903e-05 0.00011386952453674863 7.986341608828384e-08
6440.0 4.329180418958563e-05 0.00011137205875798921 6.259856478589869e-08
6450.0 5.0091999415558604e-05 0.00010843501711395274 4.508662682675517e-08
6460.0 5.669448579035335e-05 0.00010506999182693336 2.7396725484594986e-08
6470.0 6.307320394076128e-05 0.00010129026433632776 9.59868529429829e-09
6480.0 6.920297768715853e-05 9.711075287325644e-05 -8.237242188910768e-09
6490.0 7.505961341157776e-05 9.25479535841125e-05 -2.6040654617777263e-08
6500.0 8.061999554712313e-05 8.76198754175343e-05 -4.374128154376999e-08
6510.0 8.586217781558569e-05 8.234596904666377e-05 -6.126925356766868e-08
6520.0 9.076546984212888e-05 7.674705010166181e-05 -7.855538668828047e-08
